Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
76,Valle del Cauca,76364,Jamundí,Educación,Acceso a la educación,Cobertura bruta en educación - Total,74.46,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76377,La Cumbre,Educación,Acceso a la educación,Cobertura bruta en educación - Total,106.29,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76400,La Unión,Educación,Acceso a la educación,Cobertura bruta en educación - Total,98.83,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76403,La Victoria,Educación,Acceso a la educación,Cobertura bruta en educación - Total,106.54,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76497,Obando,Educación,Acceso a la educación,Cobertura bruta en educación - Total,85.88,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76520,Palmira,Educación,Acceso a la educación,Cobertura bruta en educación - Total,104.95,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76563,Pradera,Educación,Acceso a la educación,Cobertura bruta en educación - Total,104.47,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76606,Restrepo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,103.01,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76616,Riofrío,Educación,Acceso a la educación,Cobertura bruta en educación - Total,96.15,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76622,Roldanillo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,108.94,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76670,San Pedro,Educación,Acceso a la educación,Cobertura bruta en educación - Total,100.21,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
