codigo_depto,depto,cod_entidad,entidad,anualidad,matematicas,lectura
52,Nariño,52320,Guaitarilla,2010,51.3,50.14
52,Nariño,52323,Gualmatán,2010,50.57,49.46
52,Nariño,52352,Iles,2010,48.87,49.44
52,Nariño,52354,Imués,2010,48.94,47.85
52,Nariño,52356,Ipiales,2010,50.63,50.57
52,Nariño,52378,La Cruz,2010,53.48,50.22
52,Nariño,52381,La Florida,2010,53.67,51.55
52,Nariño,52385,La Llanada,2010,50.21,50.13
52,Nariño,52390,La Tola,2010,44.01,44.02
52,Nariño,52399,La Unión,2010,53.57,52.07
52,Nariño,52405,Leiva,2010,46.89,45.87
52,Nariño,52411,Linares,2010,52.12,48.91
52,Nariño,52418,Los Andes,2010,48.42,49.52
52,Nariño,52427,Magüi,2010,44.96,44.89
52,Nariño,52835,San Andrés de Tumaco,2010,44.78,45.39
52,Nariño,52838,Túquerres,2010,51.18,49.83
52,Nariño,52687,San Lorenzo,2010,48.46,49.94
52,Nariño,52693,San Pablo,2010,53.12,52.06
52,Nariño,52694,San Pedro de Cartago,2010,51.68,47.22
52,Nariño,52696,Santa Bárbara,2010,39.53,44.1
52,Nariño,52699,Santacruz,2010,50.18,49.37
52,Nariño,52720,Sapuyes,2010,49.83,51.69
52,Nariño,52786,Taminango,2010,50.26,49.75
52,Nariño,52788,Tangua,2010,46.92,46.62
52,Nariño,52435,Mallama,2010,48.09,47.09
52,Nariño,52473,Mosquera,2010,41.88,44.95
52,Nariño,52480,Nariño,2010,49.07,48.54
52,Nariño,52490,Olaya Herrera,2010,43.7,43.27
52,Nariño,52506,Ospina,2010,48.56,47.03
52,Nariño,52520,Francisco Pizarro,2010,43.05,44.22
52,Nariño,52540,Policarpa,2010,53.74,49.81
52,Nariño,52560,Potosí,2010,48.15,48.32
52,Nariño,52565,Providencia,2010,44.76,46.17
52,Nariño,52573,Puerres,2010,49.91,49.97
52,Nariño,52585,Pupiales,2010,50.46,50.41
52,Nariño,52612,Ricaurte,2010,49.88,48.67
52,Nariño,52621,Roberto Payán,2010,42.61,43.76
52,Nariño,52678,Samaniego,2010,54.39,52.01
52,Nariño,52683,Sandoná,2010,52.65,51.01
52,Nariño,52685,San Bernardo,2010,54.43,48.03
63,Quindío,63690,Salento,2010,47.27,47.51
63,Quindío,63000,Quindío,2010,50.45,50.4
63,Quindío,63001,Armenia,2010,51.6,51.18
63,Quindío,63111,Buenavista,2010,46.27,50.49
63,Quindío,63130,Calarcá,2010,49.17,49.62
63,Quindío,63190,Circasia,2010,49.59,50.29
63,Quindío,63212,Córdoba,2010,46.71,48.66
63,Quindío,63548,Pijao,2010,48.89,47.34
63,Quindío,63594,Quimbaya,2010,49.75,49.91
63,Quindío,63272,Filandia,2010,48.77,49.06
63,Quindío,63302,Génova,2010,48.86,48.34
63,Quindío,63401,La Tebaida,2010,49.12,50.17
63,Quindío,63470,Montenegro,2010,48.09,48.05
54,Norte de Santander,54810,Tibú,2010,49.3,46.43
54,Norte de Santander,54820,Toledo,2010,49.72,47.37
54,Norte de Santander,54871,Villa Caro,2010,48.15,45.91
54,Norte de Santander,54874,Villa del Rosario,2010,51.46,49.02
54,Norte de Santander,54599,Ragonvalia,2010,49.47,47.72
54,Norte de Santander,54660,Salazar,2010,49.65,47.35
54,Norte de Santander,54670,San Calixto,2010,45.02,43.52
54,Norte de Santander,54673,San Cayetano,2010,50.53,46.45
54,Norte de Santander,54680,Santiago,2010,50.9,49.17
54,Norte de Santander,54720,Sardinata,2010,49.27,46.59
54,Norte de Santander,54743,Silos,2010,48.48,45.28
54,Norte de Santander,54800,Teorama,2010,45.53,46.65
54,Norte de Santander,54245,El Carmen,2010,47.03,46.25
54,Norte de Santander,54250,El Tarra,2010,45.5,46.61
54,Norte de Santander,54261,El Zulia,2010,49.23,46.79
54,Norte de Santander,54313,Gramalote,2010,50.94,49.54
54,Norte de Santander,54344,Hacarí,2010,49.01,47.85
54,Norte de Santander,54347,Herrán,2010,52.76,51.62
54,Norte de Santander,54377,Labateca,2010,52.19,48.97
54,Norte de Santander,54385,La Esperanza,2010,46.66,46.19
54,Norte de Santander,54398,La Playa,2010,47.17,48.22
54,Norte de Santander,54405,Los Patios,2010,52.16,49.9
54,Norte de Santander,54418,Lourdes,2010,52.74,50.71
54,Norte de Santander,54480,Mutiscua,2010,54.88,51.8
54,Norte de Santander,54498,Ocaña,2010,52.48,51.36
54,Norte de Santander,54518,Pamplona,2010,53.76,52.56
54,Norte de Santander,54520,Pamplonita,2010,52.86,50.19
54,Norte de Santander,54553,Puerto Santander,2010,48.58,46.97
54,Norte de Santander,54000,Norte de Santander,2010,50.81,49.02
54,Norte de Santander,54001,Cúcuta,2010,50.73,48.86
54,Norte de Santander,54003,Ábrego,2010,48.78,47.4
54,Norte de Santander,54051,Arboledas,2010,50.16,46.95
54,Norte de Santander,54099,Bochalema,2010,49.38,48.91
54,Norte de Santander,54109,Bucarasica,2010,42.44,49.33
54,Norte de Santander,54125,Cácota,2010,51.59,56.38
54,Norte de Santander,54128,Cachirá,2010,49.97,49.98
54,Norte de Santander,54172,Chinácota,2010,52.2,49.55
54,Norte de Santander,54174,Chitagá,2010,49.95,51.4
54,Norte de Santander,54206,Convención,2010,48.24,49.02
54,Norte de Santander,54223,Cucutilla,2010,48.6,47.74
54,Norte de Santander,54239,Durania,2010,49.3,45.5
52,Nariño,52885,Yacuanquer,2010,49.74,48.16
66,Risaralda,66383,La Celia,2010,46.04,47.34
66,Risaralda,66400,La Virginia,2010,49.19,49.48
66,Risaralda,66440,Marsella,2010,47.81,48.79
66,Risaralda,66456,Mistrató,2010,46.79,46.77
66,Risaralda,66572,Pueblo Rico,2010,45.88,45.93
66,Risaralda,66594,Quinchía,2010,48.37,48.31
66,Risaralda,66682,Santa Rosa de Cabal,2010,49.11,49.95
66,Risaralda,66687,Santuario,2010,50.29,49.89
66,Risaralda,66000,Risaralda,2010,50.07,50.51
66,Risaralda,66001,Pereira,2010,50.66,51.2
66,Risaralda,66045,Apía,2010,46.35,48.64
66,Risaralda,66075,Balboa,2010,47.47,46.68
66,Risaralda,66088,Belén de Umbría,2010,47.1,47.58
66,Risaralda,66170,Dosquebradas,2010,50.63,50.77
66,Risaralda,66318,Guática,2010,47.93,47.67
70,Sucre,70823,Tolú Viejo,2010,46.47,46.07
70,Sucre,70771,Sucre,2010,45.08,46.47
70,Sucre,70820,Santiago de Tolú,2010,48.4,48.89
70,Sucre,70708,San Marcos,2010,47.65,47.23
70,Sucre,70713,San Onofre,2010,44.95,46.53
70,Sucre,70717,San Pedro,2010,49.02,47.68
70,Sucre,70742,San Luis de Sincé,2010,48.03,47.63
70,Sucre,70418,Los Palmitos,2010,45.36,46.77
70,Sucre,70429,Majagual,2010,44.22,44.66
70,Sucre,70473,Morroa,2010,47.39,46.93
70,Sucre,70508,Ovejas,2010,45.29,45.67
70,Sucre,70523,Palmito,2010,44.81,44.85
70,Sucre,70670,Sampués,2010,46.47,46.18
70,Sucre,70678,San Benito Abad,2010,44.27,45.37
70,Sucre,70702,San Juan de Betulia,2010,45.92,45.93
70,Sucre,70000,Sucre,2010,47.82,47.97
70,Sucre,70001,Sincelejo,2010,49.92,49.97
70,Sucre,70110,Buenavista,2010,49.61,46.49
70,Sucre,70124,Caimito,2010,44.78,45.14
