Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
41,Huila,41770,Suaza,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.84,,2010,12,ICFES,Puntos
41,Huila,41791,Tarqui,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.94,,2010,12,ICFES,Puntos
41,Huila,41797,Tesalia,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.88,,2010,12,ICFES,Puntos
41,Huila,41799,Tello,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,48.68,,2010,12,ICFES,Puntos
41,Huila,41244,Elías,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.13,,2010,12,ICFES,Puntos
41,Huila,41298,Garzón,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.89,,2010,12,ICFES,Puntos
41,Huila,41306,Gigante,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,49.19,,2010,12,ICFES,Puntos
41,Huila,41319,Guadalupe,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.45,,2010,12,ICFES,Puntos
41,Huila,41349,Hobo,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.21,,2010,12,ICFES,Puntos
41,Huila,41357,Iquira,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.3,,2010,12,ICFES,Puntos
41,Huila,41359,Isnos,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.42,,2010,12,ICFES,Puntos
41,Huila,41378,La Argentina,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.73,,2010,12,ICFES,Puntos
41,Huila,41396,La Plata,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.62,,2010,12,ICFES,Puntos
41,Huila,41483,Nátaga,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,51.31,,2010,12,ICFES,Puntos
41,Huila,41503,Oporapa,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,48.4,,2010,12,ICFES,Puntos
41,Huila,41518,Paicol,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,55.3,,2010,12,ICFES,Puntos
41,Huila,41524,Palermo,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,51.2,,2010,12,ICFES,Puntos
41,Huila,41530,Palestina,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.9,,2010,12,ICFES,Puntos
41,Huila,41548,Pital,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.38,,2010,12,ICFES,Puntos
41,Huila,41551,Pitalito,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.74,,2010,12,ICFES,Puntos
47,Magdalena,47000,Magdalena,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.2,,2010,12,ICFES,Puntos
47,Magdalena,47001,Santa Marta,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.16,,2010,12,ICFES,Puntos
47,Magdalena,47030,Algarrobo,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.63,,2010,12,ICFES,Puntos
47,Magdalena,47053,Aracataca,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.74,,2010,12,ICFES,Puntos
47,Magdalena,47058,Ariguaní,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.45,,2010,12,ICFES,Puntos
47,Magdalena,47161,Cerro San Antonio,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,41.18,,2010,12,ICFES,Puntos
47,Magdalena,47170,Chibolo,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.58,,2010,12,ICFES,Puntos
47,Magdalena,47189,Ciénaga,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.56,,2010,12,ICFES,Puntos
47,Magdalena,47205,Concordia,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.49,,2010,12,ICFES,Puntos
47,Magdalena,47245,El Banco,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.36,,2010,12,ICFES,Puntos
47,Magdalena,47258,El Piñón,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.02,,2010,12,ICFES,Puntos
47,Magdalena,47268,El Retén,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.63,,2010,12,ICFES,Puntos
47,Magdalena,47288,Fundación,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,48.21,,2010,12,ICFES,Puntos
47,Magdalena,47318,Guamal,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.16,,2010,12,ICFES,Puntos
47,Magdalena,47460,Nueva Granada,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.2,,2010,12,ICFES,Puntos
47,Magdalena,47541,Pedraza,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,42.88,,2010,12,ICFES,Puntos
47,Magdalena,47545,Pijiño del Carmen,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.86,,2010,12,ICFES,Puntos
47,Magdalena,47551,Pivijay,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.23,,2010,12,ICFES,Puntos
47,Magdalena,47555,Plato,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.29,,2010,12,ICFES,Puntos
47,Magdalena,47570,Puebloviejo,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.65,,2010,12,ICFES,Puntos
47,Magdalena,47605,Remolino,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,42.27,,2010,12,ICFES,Puntos
47,Magdalena,47660,Sabanas de San Ángel,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.69,,2010,12,ICFES,Puntos
47,Magdalena,47675,Salamina,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.24,,2010,12,ICFES,Puntos
